,country_name,top_movie,top_movie_score,top_tv,top_tv_score,continent,region,population,gdp,launch_date,program_count,subscriber_count,revenue
0,All countries,"['We Can Be Heroes', 'Wish Dragon', 'The Mitchells vs. The Machines', 'Fatherhood', 'Army of the Dead', 'Yes Day', 'Outside the Wire', 'Love and Monsters', 'Minions', 'Blood Red Sky']","[25188, 16911, 14902, 14643, 13937, 12809, 11661, 11582, 10743, 9749]","['Lupin', 'Bridgerton', 'New Amsterdam', 'Sex/Life', 'Who Killed Sara?', 'Ginny & Georgia', 'Vincenzo', 'Lucifer', 'Yo soy Betty la fea', 'Behind Her Eyes']","[42585, 33922, 33075, 30768, 30363, 28496, 19331, 19250, 18195, 17409]",0,0,0,0,0,0,0,0
1,Australia,"['We Can Be Heroes', 'Minions', 'Scoob!', 'The Secret Life of Pets 2', 'The Mitchells vs. The Machines', 'Yes Day', ""Harry Potter and the Philosopher's Stone"", 'Fatherhood', 'Outside the Wire', 'Love and Monsters']","[270, 221, 202, 202, 196, 180, 163, 155, 151, 149]","['Ginny & Georgia', 'New Amsterdam', 'Rick and Morty', 'Bridgerton', 'CoComelon', 'Superstore', 'The Serpent', 'Sex/Life', 'The Good Doctor', 'Firefly Lane']","[554, 526, 520, 466, 425, 337, 334, 327, 308, 289]",Australia,Australia,25695600,51885,2015-03-24,5500,4500000,84700000
2,Australia,"['We Can Be Heroes', 'Minions', 'Scoob!', 'The Secret Life of Pets 2', 'The Mitchells vs. The Machines', 'Yes Day', ""Harry Potter and the Philosopher's Stone"", 'Fatherhood', 'Outside the Wire', 'Love and Monsters']","[270, 221, 202, 202, 196, 180, 163, 155, 151, 149]","['Ginny & Georgia', 'New Amsterdam', 'Rick and Morty', 'Bridgerton', 'CoComelon', 'Superstore', 'The Serpent', 'Sex/Life', 'The Good Doctor', 'Firefly Lane']","[554, 526, 520, 466, 425, 337, 334, 327, 308, 289]",Australia,Australia,25695600,51885,2015-03-24,5500,4500000,84700000
3,Austria,"['I Care a Lot', 'Seaspiracy', 'Wish Dragon', 'Fatherhood', 'Love and Monsters', 'Army of the Dead', 'Spider-Man: Far from Home', 'Yes Day', 'We Can Be Heroes', 'Outside the Wire']","[184, 184, 178, 168, 168, 167, 164, 158, 144, 139]","['Lupin', 'Who Killed Sara?', 'Riverdale', 'Ginny & Georgia', 'Bridgerton', 'Sex/Life', 'S.W.A.T.', 'Firefly Lane', 'The Blacklist', 'The Serpent']","[615, 577, 556, 532, 527, 357, 350, 304, 285, 284]",Europe,Western Europe,8902600,51936,2014-09-19,0,500000,13700000
4,Bangladesh,"['365 Days', 'Ajeeb Daastaans', 'Haseen Dillruba', 'Fifty Shades of Grey', 'Roohi', 'Indoo Ki Jawani', 'The White Tiger', 'Ludo', 'The Girl on the Train', 'Army of the Dead']","[859, 341, 332, 316, 297, 268, 266, 254, 250, 231]","['Friends', 'Vincenzo', 'Sex/Life', 'Bridgerton', 'Money Heist', 'Lupin', 'The Good Doctor', 'Bombay Begums', 'Sexify', 'Tale of the Nine Tailed']","[1491, 890, 475, 457, 457, 390, 367, 339, 300, 278]",Asia,South Asia,161376708,5138,0,0,0,0
5,Belgium,"['We Can Be Heroes', 'Wish Dragon', 'Gemini Man', 'Fatherhood', 'Despicable Me 3', 'Yes Day', 'The Mitchells vs. The Machines', 'Love and Monsters', 'Spider-Man: Far from Home', 'Believe Me: The Abduction of Lisa McVey']","[439, 230, 217, 216, 200, 191, 188, 180, 172, 170]","['Lupin', 'New Amsterdam', 'Who Killed Sara?', 'Ginny & Georgia', 'Bridgerton', 'Sex/Life', 'The Serpent', 'Riverdale', 'Snowpiercer', 'Lucifer']","[722, 636, 582, 510, 480, 465, 446, 382, 336, 310]",Europe,Western Europe,11492641,48224,2014-09-19,4500,1000000,19500000
6,Bolivia,"['Shrek', 'We Can Be Heroes', 'Wish Dragon', 'The Mitchells vs. The Machines', 'Shrek 2', 'The Grinch', 'Minions', 'Yes Day', 'Trouble', 'Army of the Dead']","[504, 438, 400, 358, 302, 216, 198, 180, 169, 153]","['Yo soy Betty la fea', 'Pasión de gavilanes', '100 Dias Para Enamorarnos', 'La Reina del Sur', 'Pablo Escobar, The Drug Lord', 'Who Killed Sara?', 'Nuevo Rico Nuevo Pobre', 'Luis Miguel: The Series', 'Cobra Kai', 'New Amsterdam']","[2025, 809, 570, 498, 454, 399, 387, 368, 331, 331]",Latin America,South America,11428245,7790,2011-09-08,0,150000,0
7,Brazil,"['We Can Be Heroes', 'The Adventures of Sharkboy and Lavagirl', 'Run', 'Wish Dragon', 'The Mitchells vs. The Machines', 'Fatherhood', 'Trouble', 'The Silver Skates', 'Get the Grift', 'Minions']","[450, 176, 171, 162, 162, 155, 151, 147, 142, 142]","['Chiquititas', 'As Aventuras de Poliana', 'Paw Patrol', 'Who Killed Sara?', 'Lupin', 'Carrossel', 'Bridgerton', 'Ginny & Georgia', 'Sex/Life', 'Invisible City']","[1732, 917, 572, 508, 455, 424, 340, 324, 300, 294]",Latin America,South America,210147125,14563,2011-09-05,4400,14000000,176400000
8,Bulgaria,"['I Care a Lot', 'Army of the Dead', 'Love and Monsters', 'Chernobyl: Abyss', 'Tower Heist', 'Death to 2020', 'Fatherhood', 'The Mitchells vs. The Machines', 'Wish Dragon', 'Fear Street: 1994']","[229, 216, 193, 182, 177, 175, 175, 171, 167, 161]","['Ginny & Georgia', 'Lupin', 'Bridgerton', 'Riverdale', 'The Blacklist', 'Sex/Life', 'Lucifer', 'Shadow and Bone', 'New Amsterdam', 'The Good Doctor']","[625, 510, 454, 448, 424, 417, 401, 386, 358, 328]",Europe,Eastern Europe,6951482,26034,2016-01-06,0,100000,5000000
9,Canada,"['We Can Be Heroes', 'The Mitchells vs. The Machines', 'The Secret Life of Pets 2', 'Wrath of Man', ""Finding 'Ohana"", 'Fatherhood', 'Trouble', 'Love and Monsters', 'Yes Day', 'Wish Dragon']","[255, 229, 227, 198, 172, 162, 153, 147, 146, 146]","['New Amsterdam', 'Superstore', 'Manifest', 'Ginny & Georgia', 'Paw Patrol', 'Bridgerton', 'Lupin', 'Who Killed Sara?', 'Blindspot', 'Virgin River']","[545, 498, 428, 415, 399, 393, 358, 337, 317, 310]",North America,North America,38005238,52144,2010-09-22,5800,6500000,110700000
